City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,young,-32.68,-57.63,73.08,73,100,8.55,UY,1595098328
356,marawi,8.0,124.29,75.99,91,100,4.0,PH,1595098328
357,manama,26.22,50.58,95.0,71,0,6.93,BH,1595098328
358,beringovskiy,63.05,179.32,50.95,86,100,1.43,RU,1595098329
359,campbell river,50.02,-125.24,68.0,56,75,8.05,CA,1595098197
360,bardiyah,31.76,25.09,74.19,80,0,9.78,LY,1595098329
361,yarmouth,41.71,-70.23,84.0,65,1,10.29,US,1595098329
362,deniliquin,-35.53,144.97,43.03,76,28,8.77,AU,1595098329
363,ponta delgada,37.73,-25.67,71.6,68,40,11.41,PT,1595098330
364,iquitos,-3.75,-73.25,86.0,70,75,3.36,PE,1595098330
365,kropotkin,45.44,40.58,74.32,66,0,9.31,RU,1595098330
366,caucaia,-3.74,-38.65,84.99,58,40,18.34,BR,1595098330
367,launceston,-41.45,147.17,50.0,81,90,16.11,AU,1595098330
368,pemangkat,1.17,108.97,75.47,92,95,3.31,ID,1595098330
369,chernyshevskiy,63.01,112.47,45.81,99,8,6.96,RU,1595098331
370,bermejo,-32.88,-68.8,64.4,42,74,3.36,AR,1595098331
371,petropavlovsk-kamchatskiy,53.05,158.65,51.8,100,99,2.24,RU,1595098331
372,piracanjuba,-17.3,-49.02,80.56,28,0,11.79,BR,1595098331
373,krasnyy chikoy,50.36,108.75,45.12,87,29,3.42,RU,1595098331
374,russell,32.35,-85.2,93.2,55,40,4.7,US,1595098332
375,bintulu,3.17,113.03,78.8,88,20,3.36,MY,1595098332
376,nantucket,41.28,-70.1,75.0,83,90,10.29,US,1595098332
377,yokadouma,3.52,15.05,70.21,94,100,1.14,CM,1595098332
378,termoli,41.99,14.99,64.99,71,0,1.99,IT,1595098110
